Timestamp,Glucose Value
2025-07-28 23:57:00,103
2025-07-29 00:12:00,99
2025-07-29 00:27:00,111
2025-07-29 00:45:00,140
2025-07-29 01:00:00,158
2025-07-29 01:15:00,167
2025-07-29 01:28:00,165
2025-07-29 01:30:00,166
2025-07-29 01:34:00,162
2025-07-29 01:39:00,163
2025-07-29 01:39:00,162
2025-07-29 01:45:00,161
2025-07-29 02:00:00,167
2025-07-29 02:15:00,179
2025-07-29 02:31:00,166
2025-07-29 02:31:00,151
2025-07-29 02:46:00,151
2025-07-29 02:46:00,151
2025-07-29 03:01:00,151
2025-07-29 03:01:00,146
2025-07-29 03:16:00,146
2025-07-29 03:16:00,133
2025-07-29 03:31:00,122
2025-07-29 03:31:00,133
2025-07-29 03:46:00,122
2025-07-29 03:46:00,122
2025-07-29 04:01:00,122
2025-07-29 04:01:00,122
2025-07-29 04:16:00,122
2025-07-29 04:16:00,110
2025-07-29 04:31:00,110
2025-07-29 04:31:00,100
2025-07-29 04:46:00,100
2025-07-29 04:46:00,96
2025-07-29 05:01:00,96
2025-07-29 05:01:00,91
2025-07-29 05:16:00,91
2025-07-29 05:16:00,90
2025-07-29 05:31:00,90
2025-07-29 05:31:00,84
2025-07-29 05:46:00,79
2025-07-29 05:47:00,84
2025-07-29 06:01:00,76
2025-07-29 06:02:00,79
2025-07-29 06:16:00,74
2025-07-29 06:17:00,76
2025-07-29 06:31:00,73
2025-07-29 06:32:00,74
2025-07-29 06:46:00,76
2025-07-29 06:47:00,73
2025-07-29 07:01:00,72
2025-07-29 07:02:00,76
2025-07-29 07:16:00,72
2025-07-29 07:17:00,72
2025-07-29 07:33:00,72
2025-07-29 07:46:00,73
2025-07-29 07:48:00,72
2025-07-29 08:01:00,76
2025-07-29 08:03:00,73
2025-07-29 08:16:00,74
2025-07-29 08:18:00,76
2025-07-29 08:31:00,75
2025-07-29 08:33:00,74
2025-07-29 08:36:00,75
2025-07-29 08:46:00,82
2025-07-29 08:48:00,75
2025-07-29 09:01:00,84
2025-07-29 09:03:00,82
2025-07-29 09:16:00,85
2025-07-29 09:18:00,84
2025-07-29 09:31:00,89
2025-07-29 09:33:00,85
2025-07-29 09:36:00,86
2025-07-29 09:46:00,87
2025-07-29 09:48:00,89
2025-07-29 09:51:00,91
2025-07-29 09:58:00,87
2025-07-29 10:01:00,94
2025-07-29 10:03:00,87
2025-07-29 10:16:00,95
2025-07-29 10:18:00,94
2025-07-29 10:28:00,93
2025-07-29 10:30:00,96
2025-07-29 10:32:00,98
2025-07-29 10:33:00,95
2025-07-29 10:49:00,122
2025-07-29 11:04:00,138
2025-07-29 11:18:00,142
2025-07-29 11:18:00,142
2025-07-29 11:19:00,140
2025-07-29 11:34:00,134
2025-07-29 11:49:00,126
2025-07-29 11:49:00,126
2025-07-29 11:49:00,125
2025-07-29 11:55:00,122
2025-07-29 11:57:00,121
2025-07-29 12:04:00,120
2025-07-29 12:19:00,113
2025-07-29 12:34:00,100
2025-07-29 12:47:00,101
2025-07-29 12:50:00,102
2025-07-29 13:05:00,96
2025-07-29 13:20:00,89
2025-07-29 13:35:00,89
2025-07-29 13:42:00,100
2025-07-29 13:47:00,104
2025-07-29 13:50:00,105
2025-07-29 14:06:00,133
2025-07-29 14:21:00,134
2025-07-29 14:36:00,124
2025-07-29 14:51:00,115
2025-07-29 15:05:00,117
2025-07-29 15:20:00,114
2025-07-29 15:25:00,108
2025-07-29 15:31:00,106
2025-07-29 15:35:00,106
2025-07-29 15:51:00,100
2025-07-29 16:06:00,97
2025-07-29 16:21:00,105
2025-07-29 16:36:00,121
2025-07-29 16:41:00,120
2025-07-29 16:52:00,119
2025-07-29 16:59:00,110
2025-07-29 17:07:00,116
2025-07-29 17:22:00,114
2025-07-29 17:37:00,125
2025-07-29 17:52:00,131
2025-07-29 18:06:00,121
2025-07-29 18:22:00,119
2025-07-29 18:37:00,122
2025-07-29 18:37:00,122
2025-07-29 18:52:00,116
2025-07-29 19:05:00,101
2025-07-29 19:07:00,101
2025-07-29 19:22:00,98
2025-07-29 19:37:00,106
2025-07-29 19:52:00,116
2025-07-29 20:00:00,125
2025-07-29 20:04:00,127
2025-07-29 20:08:00,126
2025-07-29 20:23:00,116
2025-07-29 20:38:00,114
2025-07-29 20:50:00,122
2025-07-29 20:53:00,121
2025-07-29 21:08:00,113
2025-07-29 21:23:00,103
2025-07-29 21:38:00,100
2025-07-29 21:53:00,97
2025-07-29 21:56:00,97
2025-07-29 22:08:00,95
2025-07-29 22:23:00,92
2025-07-29 22:38:00,91
2025-07-29 22:53:00,97
2025-07-29 22:55:00,102
2025-07-29 23:08:00,108
2025-07-29 23:23:00,101
2025-07-29 23:38:00,93
2025-07-29 23:40:00,95
2025-07-29 23:53:00,114
2025-07-29 23:54:00,120
2025-07-30 00:08:00,141
2025-07-30 00:10:00,146
2025-07-30 00:12:00,147
2025-07-30 00:22:00,150
2025-07-30 00:23:00,150
2025-07-30 00:38:00,158
2025-07-30 00:40:00,160
2025-07-30 00:53:00,166
2025-07-30 01:06:00,181
2025-07-30 01:07:00,183
2025-07-30 01:08:00,181
2025-07-30 01:23:00,177
2025-07-30 01:32:00,166
2025-07-30 01:38:00,161
2025-07-30 01:45:00,150
2025-07-30 01:53:00,149
2025-07-30 01:55:00,149
2025-07-30 01:57:00,150
2025-07-30 02:10:00,155
2025-07-30 02:21:00,149
2025-07-30 02:25:00,149
2025-07-30 02:36:00,139
2025-07-30 02:37:00,138
2025-07-30 02:41:00,138
2025-07-30 02:56:00,130
2025-07-30 03:11:00,143
2025-07-30 03:26:00,149
2025-07-30 03:41:00,156
2025-07-30 03:47:00,159
2025-07-30 03:56:00,159
2025-07-30 04:01:00,154
2025-07-30 04:11:00,141
2025-07-30 04:26:00,129
2025-07-30 04:41:00,124
2025-07-30 04:56:00,113
2025-07-30 05:11:00,105
